id,Valor,SensorId,Time
87,95,<ID_sensor_10>,2022-05-18 12:21:12
88,16,<ID_sensor_3>,2022-05-18 11:35:27
89,65,<ID_sensor_7>,2022-05-18 11:52:33
90,10,<ID_sensor_7>,2022-05-18 12:28:52
91,100,<ID_sensor_5>,2022-05-18 12:45:13
92,52,<ID_sensor_7>,2022-05-18 11:44:01
93,52,<ID_sensor_8>,2022-05-18 12:55:50
94,68,<ID_sensor_8>,2022-05-18 12:47:11
95,8,<ID_sensor_2>,2022-05-18 12:58:43
96,76,<ID_sensor_7>,2022-05-18 12:31:47
97,78,<ID_sensor_7>,2022-05-18 12:43:45
98,20,<ID_sensor_1>,2022-05-18 12:50:58
99,70,<ID_sensor_9>,2022-05-18 12:44:36
100,55,<ID_sensor_2>,2022-05-18 11:46:04
